Biology_Exam,Biology_Q1_Grade,Biology_Grade_Level,Calculus_AB_Exam,Calculus_AB_Q1_Grade,Calculus_AB_Grade_Level,Chemistry_Exam,Chemistry_Q1_Grade,Chemistry_Grade_Level,Computer_Science_A_Exam,Computer_Science_A_Q1_Grade,Computer_Science_A_Grade_Level,Computer_Science_Principles_Exam,Computer_Science_Principles_Q1_Grade,Computer_Science_Principles_Grade_Level,English_Lang_and_Comp_Exam,English_Lang_and_Comp_Q1_Grade,English_Lang_and_Comp_Grade_Level,Environmental_Science_Exam,Environmental_Science_Q1_Grade,Environmental_Science_Grade_Level,Human_Geography_Exam,Human_Geography_Q1_Grade,Human_Geography_Grade_Level,Physics_1:_Algebra-Based_Exam,Physics_1:_Algebra-Based_Q1_Grade,Physics_1:_Algebra-Based_Grade_Level,Physics_C:_Mechanics_Exam,Physics_C:_Mechanics_Q1_Grade,Physics_C:_Mechanics_Grade_Level,Psychology_Exam,Psychology_Q1_Grade,Psychology_Grade_Level,U.S._History_Exam,U.S._History_Q1_Grade,U.S._History_Grade_Level,World_History_Exam,World_History_Q1_Grade,World_History_Grade_Level
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,2,4,2,2,4,1,0,0,0,0,0,0,3,5,1,4,5,2,4,5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,2,2,4,1,4,5,1,0,0,0,0,0,0,4,5,1,3,5,2,0,0,0
4,3,1,3,4,2,3,4,2,0,0,0,0,0,0,3,5,2,0,0,0,5,5,1,0,0,0,0,0,0,0,0,0,4,5,2,4,5,1
0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,0,0,0,0,0,0,4,5,1,0,0,0,0,0,0,3,5,1,0,0,0,0,0,0
0,0,0,5,5,2,4,5,2,5,5,1,5,5,1,5,5,1,5,5,1,5,5,1,3,5,1,3,5,2,0,0,0,0,0,0,5,5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,0,0,0,2,5,1,0,0,0,0,0,0,0,0,0,4,4,2,3,4,1
0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,4,5,2,0,0,0,4,5,1,0,0,0,0,0,0,4,5,1,0,0,0,3,5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,0,0,0,5,5,1,0,0,0,0,0,0,5,5,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3,5,1,3,5,1,4,5,2,4,5,1,5,5,1,3,5,2,0,0,0,0,0,0,4,5,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,0,0,0,5,5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,4,5,1,5,5,1,0,0,0,0,0,0,5,5,1,0,0,0,4,5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,3,5,1,3,5,1,0,0,0,0,0,0,0,0,0,4,5,2,3,5,1
4,5,1,4,5,2,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,4,4,1,0,0,0,3,5,1,5,5,2,3,4,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2,2,5,1,3,3,1,0,0,0,0,0,0,3,5,1,3,5,2,0,0,0
0,0,0,4,5,2,0,0,0,0,0,0,0,0,0,4,5,2,0,0,0,4,5,1,0,0,0,0,0,0,4,5,1,4,5,2,4,5,1
0,0,0,2,4,2,0,0,0,0,0,0,0,0,0,2,4,2,0,0,0,3,5,1,0,0,0,0,0,0,0,0,0,4,4,2,2,4,1
0,0,0,4,5,2,0,0,0,0,0,0,0,0,0,4,5,2,0,0,0,4,5,1,2,5,1,2,5,2,0,0,0,4,5,2,3,5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,4,5,2,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,4,5,2,0,0,0,0,0,0,0,0,0,5,5,2,0,0,0,5,5,1,0,0,0,0,0,0,0,0,0,5,5,2,5,5,1
4,4,1,4,5,2,0,0,0,3,5,1,4,5,1,4,5,2,4,5,2,4,5,1,0,0,0,3,5,2,3,5,1,4,5,2,4,5,1
0,0,0,5,5,1,0,0,0,0,0,0,0,0,0,4,5,2,0,0,0,5,5,1,0,0,0,3,5,1,0,0,0,4,5,2,4,5,1
0,0,0,3,5,2,0,0,0,0,0,0,0,0,0,5,5,2,0,0,0,5,5,1,0,0,0,0,0,0,0,0,0,5,5,2,5,5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0,4,5,2,4,5,1
3,4,1,3,5,2,0,0,0,3,5,1,2,5,1,3,5,1,4,5,2,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1
4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,4,5,2,0,0,0
3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,0,0,0,5,5,1,0,0,0,0,0,0,5,5,1,0,0,0,5,4,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2,0,0,0,4,5,1,0,0,0,3,5,1,0,0,0,4,5,2,3,5,1
0,0,0,4,5,2,0,0,0,0,0,0,4,5,1,3,5,2,0,0,0,4,5,1,3,5,1,0,0,0,0,0,0,4,5,2,4,5,1
4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2
5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,2,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,0,0,0,3,5,2,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2
4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2
3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2
0,0,0,0,0,0,0,0,0,5,5,2,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2
0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,0,0,0,2,5,2,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2
0,0,0,0,0,0,0,0,0,0,0,0,4,5,1,0,0,0,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,4,5,2,0,0,0,0,0,0,0,0,0,4,5,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2
0,0,0,0,0,0,0,0,0,0,0,0,4,5,2,0,0,0,0,0,0,5,5,1,3,5,2,0,0,0,0,0,0,0,0,0,4,5,2
0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,0,0,0,3,5,2,4,5,1,0,0,0,0,0,0,4,5,2,0,0,0,4,5,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2
4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2
0,0,0,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2
5,5,1,0,0,0,5,5,2,0,0,0,5,5,2,0,0,0,0,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2
4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2
3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2
2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2
0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,0,0,0,0,0,0,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,3,5,2,0,0,0,0,0,0,0,0,0,4,5,2
0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,0,0,0,5,5,2,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4,1,0,0,0,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2
3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,0,0,0,4,4,2,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2
0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,0,0,0,5,5,2,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,1,0,0,0,5,5,2,0,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,4,5,2,0,0,0,0,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,1,0,0,0,0,0,0,0,0,0,3,5,1,0,0,0,4,5,2,4,5,1,1,4,2,0,0,0,0,0,0,0,0,0,4,5,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,1,3,5,2,0,0,0,0,0,0,0,0,0,5,5,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2
2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,4,5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2
0,0,0,4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,0,0,0,3,5,2,0,0,0,4,5,1,5,5,2
0,0,0,0,0,0,4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,4,5,1,0,0,0
